x,y,centroid x,centroid y
5.21,8.457,6.232436071721583,6.23275471698112
-5.5,7.629,-3.2064648720726847,6.104433619468306
9.573,14.998,12.079975492895738,11.997117579028487
13.944,0.842,9.7775904359395,-1.285077482977226
10.952,11.553,12.079975492895738,11.997117579028487
5.675,-0.488,9.7775904359395,-1.285077482977226
10.508,-4.183,9.7775904359395,-1.285077482977226
4.8,4.222,6.232436071721583,6.23275471698112
11.039,-3.993,9.7775904359395,-1.285077482977226
12.19,15.099,12.079975492895738,11.997117579028487
4.208,4.692,6.232436071721583,6.23275471698112
6.954,9.042,6.232436071721583,6.23275471698112
4.639,6.119,6.232436071721583,6.23275471698112
-1.527,4.23,-3.2064648720726847,6.104433619468306
10.617,-3.39,9.7775904359395,-1.285077482977226
15.055,8.779,12.079975492895738,11.997117579028487
6.17,-1.406,9.7775904359395,-1.285077482977226
10.247,4.755,6.232436071721583,6.23275471698112
-0.642,3.572,-3.2064648720726847,6.104433619468306
12.057,10.413,12.079975492895738,11.997117579028487
8.972,14.833,12.079975492895738,11.997117579028487
-5.777,7.641,-3.2064648720726847,6.104433619468306
11.757,10.774,12.079975492895738,11.997117579028487
13.924,0.904,9.7775904359395,-1.285077482977226
11.778,-2.412,9.7775904359395,-1.285077482977226
7.668,-0.51,9.7775904359395,-1.285077482977226
10.949,13.927,12.079975492895738,11.997117579028487
4.675,4.811,6.232436071721583,6.23275471698112
14.347,8.873,12.079975492895738,11.997117579028487
14.692,8.148,12.079975492895738,11.997117579028487
4.437,6.319,6.232436071721583,6.23275471698112
10.552,4.739,6.232436071721583,6.23275471698112
-0.702,4.365,-3.2064648720726847,6.104433619468306
12.129,10.216,12.079975492895738,11.997117579028487
-5.11,6.742,-3.2064648720726847,6.104433619468306
6.609,8.87,6.232436071721583,6.23275471698112
-0.736,3.513,-3.2064648720726847,6.104433619468306
-5.321,6.879,-3.2064648720726847,6.104433619468306
14.279,10.934,12.079975492895738,11.997117579028487
-1.212,4.161,-3.2064648720726847,6.104433619468306
12.101,-3.059,9.7775904359395,-1.285077482977226
9.513,4.92,6.232436071721583,6.23275471698112
14.229,10.426,12.079975492895738,11.997117579028487
12.007,10.645,12.079975492895738,11.997117579028487
5.505,5.602,6.232436071721583,6.23275471698112
10.859,11.28,12.079975492895738,11.997117579028487
8.752,5.632,6.232436071721583,6.23275471698112
6.031,9.11,6.232436071721583,6.23275471698112
5.549,5.62,6.232436071721583,6.23275471698112
4.839,4.533,6.232436071721583,6.23275471698112
3.784,5.454,6.232436071721583,6.23275471698112
-5.141,8.314,-3.2064648720726847,6.104433619468306
15.445,10.402,12.079975492895738,11.997117579028487
12.064,14.05,12.079975492895738,11.997117579028487
10.964,11.288,12.079975492895738,11.997117579028487
9.861,5.431,6.232436071721583,6.23275471698112
-4.63,8.777,-3.2064648720726847,6.104433619468306
